,Unnamed: 0,fecha,prediccion_trx,canal,file_date,y_mobile,y_access,mes_año,model,perc_error,SLA,SLA_over
74,15,2021-01-26 00:00:00,313827,MB,2021-01-25 19:20:58,280859.0,535291.0,20211,MB_1b,-0.11738274365428916,False,True
75,14,2021-01-25 00:00:00,306101,MB,2021-01-25 19:20:58,275212.0,801366.0,20211,MB_1b,-0.11223711175384794,False,True
76,13,2021-01-24 00:00:00,188911,MB,2021-01-25 19:20:58,141013.0,65592.0,20211,MB_1b,-0.33967081049264963,False,True
77,12,2021-01-23 00:00:00,209541,MB,2021-01-25 19:20:58,199666.0,84987.0,20211,MB_1b,-0.04945759418228442,True,True
78,11,2021-02-03 00:00:00,909252,AB,2021-01-25 19:20:58,427108.0,975050.0,20212,AB_3,0.06748166760678939,True,True
79,10,2021-02-02 00:00:00,934815,AB,2021-01-25 19:20:58,442724.0,902376.0,20212,AB_3,-0.03594842947950743,True,True
80,9,2021-02-01 00:00:00,1522906,AB,2021-01-25 19:20:58,468644.0,1425983.0,20212,AB_3,-0.06796925349039926,True,True
81,8,2021-01-31 00:00:00,30231,AB,2021-01-25 19:20:58,209242.0,122521.0,20211,AB_3,0.7532586250520319,False,False
82,7,2021-01-30 00:00:00,2495,AB,2021-01-25 19:20:58,277166.0,144059.0,20211,AB_3,0.9826807072102403,False,False
83,6,2021-01-29 00:00:00,718721,AB,2021-01-25 19:20:58,392406.0,804476.0,20211,AB_3,0.10659733789448038,False,False
84,5,2021-01-28 00:00:00,578571,AB,2021-01-25 19:20:58,301845.0,628990.0,20211,AB_3,0.08015866706942877,True,True
85,18,2021-01-29 00:00:00,345268,MB,2021-01-25 19:20:58,392406.0,804476.0,20211,MB_1b,0.12012558421634735,False,False
86,3,2021-01-26 00:00:00,651757,AB,2021-01-25 19:20:58,280859.0,535291.0,20211,AB_3,-0.21757511334956126,False,True
87,4,2021-01-27 00:00:00,626379,AB,2021-01-25 19:20:58,277224.0,617863.0,20211,AB_3,-0.013782990727717957,True,True
89,12,2021-01-22 00:00:00,326053,MB,2021-01-18 13:19:24,276168.0,516618.0,20211,MB_3,-0.18063280322122766,False,True
93,11,2021-01-21 00:00:00,301898,MB,2021-01-18 13:19:24,307659.0,566153.0,20211,MB_3,0.018725277011236465,True,True
100,4,2021-01-22 00:00:00,624223,AB,2021-01-18 13:19:24,276168.0,516618.0,20211,AB_3,-0.20828736126112524,False,True
101,3,2021-01-21 00:00:00,645934,AB,2021-01-18 13:19:24,307659.0,566153.0,20211,AB_3,-0.14091773778466246,False,True
105,8,2021-01-17 00:00:00,-60373,AB,2021-01-11 15:53:14,146935.0,81369.0,20211,AB_3,1.7419656134400079,False,False
106,7,2021-01-16 00:00:00,23389,AB,2021-01-11 15:53:14,207455.0,103047.0,20211,AB_3,0.7730259008025464,False,False
109,19,2021-01-16 00:00:00,257794,MB,2021-01-11 15:53:14,207455.0,103047.0,20211,MB_1b,-0.24265021329926972,False,True
113,1,2021-01-10 00:00:00,114914,AB,2021-01-11 15:53:14,190894.0,131951.0,20211,AB_3,0.12911611128373413,False,False
116,0,2021-01-09 00:00:00,191861,AB,2021-01-11 15:53:14,266397.0,144606.0,20211,AB_3,-0.326784504100798,False,True
117,12,2021-01-09 00:00:00,280392,MB,2021-01-11 15:53:14,266397.0,144606.0,20211,MB_1b,-0.05253437538711021,True,True
118,13,2021-01-10 00:00:00,232101,MB,2021-01-11 15:53:14,190894.0,131951.0,20211,MB_1b,-0.2158632539524553,False,True
124,20,2021-01-17 00:00:00,211296,MB,2021-01-11 15:53:14,146935.0,81369.0,20211,MB_1b,-0.43802361588457484,False,True
128,1,2021-01-01 00:00:00,336219,AB,2021-01-04 15:39:52,134811.0,70775.0,20211,AB_3,-3.750533380430943,False,True
129,0,2020-12-31 00:00:00,98955,AB,2021-01-04 15:39:52,245435.0,141642.0,202012,AB_3,0.3013724742661075,False,False
130,16,2021-01-04 00:00:00,411395,MB,2021-01-04 15:39:52,480427.0,2077044.0,20211,MB_1b,0.14368884346633307,False,False
131,12,2020-12-31 00:00:00,224795,MB,2021-01-04 15:39:52,245435.0,141642.0,202012,MB_1b,0.08409558538920692,True,True
135,20,2021-01-08 00:00:00,356946,MB,2021-01-04 15:39:52,393582.0,912559.0,20211,MB_1b,0.09308352516121164,True,True
136,19,2021-01-07 00:00:00,434646,MB,2021-01-04 15:39:52,551412.0,960391.0,20211,MB_1b,0.21175817718874454,False,False
137,18,2021-01-06 00:00:00,360593,MB,2021-01-04 15:39:52,476305.0,941150.0,20211,MB_1b,0.24293677370592373,False,False
138,17,2021-01-05 00:00:00,372373,MB,2021-01-04 15:39:52,522870.0,1073046.0,20211,MB_1b,0.28782871459444986,False,False
139,15,2021-01-03 00:00:00,241819,MB,2021-01-04 15:39:52,199284.0,126317.0,20211,MB_1b,-0.2134391120210353,False,True
140,14,2021-01-02 00:00:00,291848,MB,2021-01-04 15:39:52,222506.0,120125.0,20211,MB_1b,-0.31164103439907237,False,True
141,13,2021-01-01 00:00:00,287323,MB,2021-01-04 15:39:52,134811.0,70775.0,20211,MB_1b,-1.1313023417970343,False,True
145,8,2021-01-08 00:00:00,739999,AB,2021-01-04 15:39:52,393582.0,912559.0,20211,AB_3,0.18909462292301102,False,False
146,7,2021-01-07 00:00:00,907075,AB,2021-01-04 15:39:52,551412.0,960391.0,20211,AB_3,0.05551488924823327,True,True
147,6,2021-01-06 00:00:00,843955,AB,2021-01-04 15:39:52,476305.0,941150.0,20211,AB_3,0.10327259204165117,False,False
